N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
170,NHN,"82,300","1,600",+1.98%,500,"16,102","19,565",11.63,"137,873",60.07,1.35,
171,지누스,"101,500",0,0.00%,500,"16,037","15,800",23.40,"14,277",33.50,11.61,
172,대한유화,"245,500","4,000",+1.66%,"5,000","15,958","6,500",19.94,"37,049",7.00,6.93,
173,녹십자홀딩스,"33,800",150,-0.44%,500,"15,896","47,028",4.94,"42,302",8.97,19.74,
174,DGB금융지주,"9,290",40,-0.43%,"5,000","15,714","169,146",48.47,"427,843",4.28,6.93,
175,솔루스첨단소재,"51,100","1,400",-2.67%,100,"15,631","30,590",6.46,"244,753",-141.16,-5.10,
176,종근당,"136,000","1,000",+0.74%,"2,500","15,539","11,426",8.11,"38,404",17.50,17.88,
177,두산,"91,800",600,+0.66%,"5,000","15,169","16,524",11.08,"28,146",-11.05,-34.34,
178,SK네트웍스,"6,000",90,+1.52%,"2,500","14,891","248,188",12.53,"448,560",14.39,1.63,
179,KODEX 종합채권(AA-이상)액티브,"108,395",265,-0.24%,0,"14,810","13,663",0.00,"1,151",N/A,N/A,
180,롯데리츠,"6,090",10,+0.16%,500,"14,797","242,969",9.54,"340,589",35.41,1.83,
181,명신산업,"28,150",50,-0.18%,500,"14,770","52,470",1.04,"196,406",-12.21,-67.39,
182,JB금융지주,"7,380",10,+0.14%,"5,000","14,537","196,983",40.96,"261,950",3.64,10.06,
183,부광약품,"20,400",50,+0.25%,500,"14,497","71,063",5.47,"192,337",-153.38,-2.46,
184,신세계인터내셔날,"203,000",500,-0.25%,"5,000","14,494","7,140",5.12,"13,249",20.81,8.24,
185,롯데관광개발,"20,800",50,+0.24%,500,"14,409","69,276",4.26,"272,148",-11.63,-30.43,
186,KODEX 200TR,"14,340",50,-0.35%,0,"14,390","100,350",0.02,"35,629",N/A,N/A,
187,솔루엠,"28,300",700,+2.54%,500,"14,095","49,806",4.38,"542,156",27.69,43.26,
188,세방전지,"97,700",800,-0.81%,500,"13,678","14,000",25.17,"36,233",17.73,6.14,
189,KODEX 레버리지,"29,300",105,-0.36%,0,"13,537","46,200",5.25,"7,520,715",N/A,N/A,
190,LG전자우,"78,100",500,-0.64%,"5,000","13,422","17,186",40.98,"59,483",7.28,N/A,
191,한국콜마,"57,900",0,0.00%,500,"13,248","22,881",27.54,"92,881",8.27,29.27,
192,태광산업,"1,182,000","7,000",+0.60%,"5,000","13,160","1,113",7.30,325,10.42,3.26,
193,롯데칠성,"146,000","1,000",+0.69%,500,"13,104","8,975",9.20,"15,338",196.77,-1.00,
194,코스맥스,"129,500","4,500",+3.60%,500,"13,014","10,050",22.76,"106,190",40.74,6.23,
195,다우기술,"28,900",50,+0.17%,500,"12,966","44,867",22.28,"301,734",3.42,18.85,
196,이노션,"64,600",900,-1.37%,500,"12,920","20,000",30.24,"24,844",22.00,8.28,
197,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
198,KODEX 2차전지산업,"18,855",155,-0.82%,0,"12,689","67,300",0.05,"708,963",N/A,N/A,
199,세아베스틸,"35,050",700,+2.04%,"5,000","12,570","35,862",18.39,"274,965",-5.52,-14.18,
200,코리안리,"10,100",210,+2.12%,500,"12,157","120,369",30.70,"313,824",7.94,5.78,
